A;102;20040202 11:46;PTHIRLWELL;
D;102;1123798;47;20040202 11:47;P;;;;;;
D;102;1123798;47;20040202 11:47;P;;;;;;
D;102;1123798;47;20040202 11:47;V;;;;;;
D;102;1123798;47;20040202 11:47;V;;;;;;
B;102;1124544;48;20040202 11:47;;;24;WARBY ST;BOWRAL;2576;800;M;20031124;20040107;471000;A;R;RESIDENCE;;NA;;0;AA317049;
C;102;1124544;48;20040202 11:47;210//1014858;
D;102;1124544;48;20040202 11:47;P;;;;;;
D;102;1124544;48;20040202 11:47;V;;;;;;
D;102;1124544;48;20040202 11:47;V;;;;;;
B;102;1124823;49;20040202 11:47;;;20;WERRINGTON ST;BURRADOO;2576;4096;M;20030103;20031223;1050000;A;R;RESIDENCE;;NP;;0;AA315326;
C;102;1124823;49;20040202 11:47;1//805861;
D;102;1124823;49;20040202 11:47;P;;;;;;
D;102;1124823;49;20040202 11:47;V;;;;;;
D;102;1124823;49;20040202 11:47;V;;;;;;
B;102;1124823;50;20040202 11:47;;;20;WERRINGTON ST;BURRADOO;2576;4096;M;20031201;20031223;1250000;A;R;RESIDENCE;;NP;;0;AA315327;
C;102;1124823;50;20040202 11:47;1//805861;
D;102;1124823;50;20040202 11:47;P;;;;;;
D;102;1124823;50;20040202 11:47;V;;;;;;
B;102;1124860;51;20040202 11:47;;;35;WEST PDE;HILL TOP;2575;1124;M;20031023;20031212;289000;Z;R;RESIDENCE;;CH;;0;AA305636;
C;102;1124860;51;20040202 11:47;10//812832;
D;102;1124860;51;20040202 11:47;P;;;;;;
D;102;1124860;51;20040202 11:47;P;;;;;;
D;102;1124860;51;20040202 11:47;P;;;;;;
D;102;1124860;51;20040202 11:47;V;;;;;;
B;102;1124899;52;20040202 11:47;;;8;WESTERN RD;YERRINBOOL;2575;1000;M;20040107;20040109;137500;Z;R;RESIDENCE;;CD;;50;AA352742;
C;102;1124899;52;20040202 11:47;103//817773;
D;102;1124899;52;20040202 11:47;P;;;;;;
D;102;1124899;52;20040202 11:47;P;;;;;;
D;102;1124899;52;20040202 11:47;V;;;;;;
D;102;1124899;52;20040202 11:47;V;;;;;;
B;102;1124903;53;20040202 11:47;;;;WESTGROVE RD;EXETER;2579;2.024;H;20031026;20040108;780000;R;R;RESIDENCE;;HU;;0;AA334899;
C;102;1124903;53;20040202 11:47;38//243688;
D;102;1124903;53;20040202 11:47;P;;;;;;
D;102;1124903;53;20040202 11:47;P;;;;;;
D;102;1124903;53;20040202 11:47;V;;;;;;
B;102;1125298;54;20040202 11:47;;;62;WILSON DR;HILL TOP;2575;1085;M;20031128;20031223;260000;Z;R;RESIDENCE;;CG;;0;AA356382;
C;102;1125298;54;20040202 11:47;1//711798;
D;102;1125298;54;20040202 11:47;P;;;;;;
D;102;1125298;54;20040202 11:47;P;;;;;;
D;102;1125298;54;20040202 11:47;V;;;;;;
D;102;1125298;54;20040202 11:47;V;;;;;;
B;102;2778368;55;20040202 11:47;;;11;CALEY ST;BOWRAL;2576;1000;M;20031110;20031219;275000;A;V;VACANT LAND;;NA;;0;AA312501;
C;102;2778368;55;20040202 11:47;337//1015653;
D;102;2778368;55;20040202 11:47;P;;;;;;
D;102;2778368;55;20040202 11:47;P;;;;;;
D;102;2778368;55;20040202 11:47;V;;;;;;
B;102;2886838;56;20040202 11:47;;;;BUMBALLA RD;WINGELLO;2579;5315;M;20031010;20031217;150000;A;V;VACANT LAND;;QX;;0;AA312131;
C;102;2886838;56;20040202 11:47;7//1036841;
D;102;2886838;56;20040202 11:47;P;;;;;;
D;102;2886838;56;20040202 11:47;P;;;;;;
D;102;2886838;56;20040202 11:47;V;;;;;;
B;102;2900779;57;20040202 11:47;;;12;BRIGADOON DR;BUNDANOON;2578;1181;M;20031126;20031218;455000;A;R;RESIDENCE;;QA;;0;AA357404;
C;102;2900779;57;20040202 11:47;19//1038923;
D;102;2900779;57;20040202 11:47;P;;;;;;
D;102;2900779;57;20040202 11:47;P;;;;;;
D;102;2900779;57;20040202 11:47;V;;;;;;
D;102;2900779;57;20040202 11:47;V;;;;;;
B;102;2908589;58;20040202 11:47;;;5;BURRAWANG ST;ROBERTSON;2577;2023.4;M;20031031;20031222;375000;A;R;RESIDENCE;;DU;;0;AA328227;
C;102;2908589;58;20040202 11:47;2/1/758882;
D;102;2908589;58;20040202 11:47;P;;;;;;
D;102;2908589;58;20040202 11:47;P;;;;;;
D;102;2908589;58;20040202 11:47;V;;;;;;
D;102;2908589;58;20040202 11:47;V;;;;;;
B;102;1116442;59;20040202 11:47;MILLERWOOD;1;2;MARTHA ST;BOWRAL;2576;;;20031106;20031128;395000;;R;RESIDENCE;1;;;0;AA359112;
C;102;1116442;59;20040202 11:47;1//SP 68463;
D;102;1116442;59;20040202 11:47;P;;;;;;
D;102;1116442;59;20040202 11:47;P;;;;;;
D;102;1116442;59;20040202 11:47;V;;;;;;
B;102;2933549;60;20040202 11:47;;;;PARMENTER CT;EAST BOWRAL;2576;810.1;M;20031121;20031217;468000;A;R;RESIDENCE;;NA;;0;AA311479;
C;102;2933549;60;20040202 11:47;104//1043085;
D;102;2933549;60;20040202 11:47;P;;;;;;
D;102;2933549;60;20040202 11:47;P;;;;;;
D;102;2933549;60;20040202 11:47;V;;;;;;
B;102;2952865;61;20040202 11:47;;;;ALICE AVE;BOWRAL;2576;1301;M;20020527;20030930;160000;A;V;VACANT LAND;;NA;;0;AA346288;
C;102;2952865;61;20040202 11:47;29//1044937;
D;102;2952865;61;20040202 11:47;P;;;;;;
D;102;2952865;61;20040202 11:47;V;;;;;;
D;102;2952865;61;20040202 11:47;V;;;;;;
B;102;2952879;62;20040202 11:47;;;30;ALICE AVE;BOWRAL;2576;1123;M;20031024;20031219;580000;A;R;RESIDENCE;;NA;;0;AA324594;
C;102;2952879;62;20040202 11:47;41//1044937;
D;102;2952879;62;20040202 11:47;P;;;;;;
D;102;2952879;62;20040202 11:47;V;;;;;;
B;102;2960392;63;20040202 11:47;;;;BOARDMAN RD;BOWRAL;2576;800;M;20031203;20040114;255000;A;R;RESIDENCE;;NA;;0;AA333393;
C;102;2960392;63;20040202 11:47;201//1046720;
D;102;2960392;63;20040202 11:47;P;;;;;;
D;102;2960392;63;20040202 11:47;P;;;;;;
D;102;2960392;63;20040202 11:47;V;;;;;;
B;102;2992598;64;20040202 11:47;;;;OAKLAND ST;MITTAGONG;2575;726.1;M;20031211;20031219;230000;A;V;VACANT LAND;;LK;;0;AA343175;
C;102;2992598;64;20040202 11:47;19//1048801;
D;102;2992598;64;20040202 11:47;P;;;;;;
D;102;2992598;64;20040202 11:47;P;;;;;;
D;102;2992598;64;20040202 11:47;V;;;;;;
B;102;3024608;65;20040202 11:47;;;4;HAMILTON AVE;BOWRAL;2576;5061;M;20031010;20040114;1500000;A;R;RESIDENCE;;NC;;0;AA352794;
C;102;3024608;65;20040202 11:47;20//1057908;
D;102;3024608;65;20040202 11:47;P;;;;;;
D;102;3024608;65;20040202 11:47;V;;;;;;
D;102;3024608;65;20040202 11:47;V;;;;;;
B;102;3024609;66;20040202 11:47;;;4;HAMILTON AVE;BOWRAL;2576;875.7;M;20031010;20040114;1500000;A;R;RESIDENCE;;NC;;0;AA352794;
C;102;3024609;66;20040202 11:47;21//1057908;
D;102;3024609;66;20040202 11:47;P;;;;;;
D;102;3024609;66;20040202 11:47;V;;;;;;
D;102;3024609;66;20040202 11:47;V;;;;;;
B;102;3038829;67;20040202 11:47;TUDOR PARK;;;WINDSOR CRES;MOSS VALE;2577;4000;M;20031030;20031215;235000;;V;VACANT LAND;;;;0;AA332271;
C;102;3038829;67;20040202 11:47;124//1056257;
D;102;3038829;67;20040202 11:47;P;;;;;;
D;102;3038829;67;20040202 11:47;V;;;;;;
B;102;3039549;68;20040202 11:47;;;;JENSENS LANE;EXETER;2579;2574;M;20031015;20031223;280000;A;V;VACANT LAND;;WE;;0;AA312560;
C;102;3039549;68;20040202 11:47;21/10/3373;
D;102;3039549;68;20040202 11:47;P;;;;;;
D;102;3039549;68;20040202 11:47;P;;;;;;
D;102;3039549;68;20040202 11:47;V;;;;;;
B;102;3046818;69;20040202 11:47;;;;BEACONSFIELD RD;MOSS VALE;2577;1878;M;20020726;20031209;125000;A;V;VACANT LAND;;EA;;0;AA302814;
C;102;3046818;69;20040202 11:47;41//1061253;
D;102;3046818;69;20040202 11:47;P;;;;;;
D;102;3046818;69;20040202 11:47;P;;;;;;
D;102;3046818;69;20040202 11:47;V;;;;;;
D;102;3046818;69;20040202 11:47;V;;;;;;
