A;003;20040116 12:19;PDANN;
B;003;57141;60;20040116 12:19;;;19;JOHN ST;FORRESTERS BEACH;2260;733.5;M;20030511;20031219;452000;A;R;RESIDENCE;;FP;;0;AA276853;
C;003;57141;60;20040116 12:19;22/C/17415;
D;003;57141;60;20040116 12:19;P;;;;;;
D;003;57141;60;20040116 12:19;V;;;;;;
D;003;57141;60;20040116 12:19;V;;;;;;
B;003;57547;61;20040116 12:19;;;24;JONES RD;CALGA;2250;8546;M;20031025;20031216;694000;R;R;RESIDENCE;;RA;;0;AA308804;
C;003;57547;61;20040116 12:19;11//263237;
D;003;57547;61;20040116 12:19;P;;;;;;
D;003;57547;61;20040116 12:19;P;;;;;;
D;003;57547;61;20040116 12:19;V;;;;;;
B;003;57594;62;20040116 12:19;;;29;JOPPA ST;NIAGARA PARK;2250;701.9;M;20031127;20031219;315000;A;R;RESIDENCE;;GK;;0;AA309438;
C;003;57594;62;20040116 12:19;82//239552;
D;003;57594;62;20040116 12:19;P;;;;;;
D;003;57594;62;20040116 12:19;P;;;;;;
D;003;57594;62;20040116 12:19;V;;;;;;
D;003;57594;62;20040116 12:19;V;;;;;;
B;003;57683;63;20040116 12:19;;;28;JOYCE AVE;WYOMING;2250;474.2;M;20031124;20031219;325000;A;R;RESIDENCE;;FB;;0;AA305294;
C;003;57683;63;20040116 12:19;123//221662;
D;003;57683;63;20040116 12:19;P;;;;;;
D;003;57683;63;20040116 12:19;P;;;;;;
D;003;57683;63;20040116 12:19;V;;;;;;
B;003;58164;64;20040116 12:19;;;51;KALLAROO RD;BENSVILLE;2251;589.2;M;20031112;20031219;517000;A;R;RESIDENCE;;HA;;0;AA279321;
C;003;58164;64;20040116 12:19;103//1009883;
D;003;58164;64;20040116 12:19;P;;;;;;
D;003;58164;64;20040116 12:19;P;;;;;;
D;003;58164;64;20040116 12:19;V;;;;;;
D;003;58164;64;20040116 12:19;V;;;;;;
B;003;58508;65;20040116 12:19;;;2;KARANI AVE;AVOCA BEACH;2251;524.8;M;20030922;20031205;609000;A;R;RESIDENCE;;GA;;0;AA312273;
C;003;58508;65;20040116 12:19;85//9406;
D;003;58508;65;20040116 12:19;P;;;;;;
D;003;58508;65;20040116 12:19;P;;;;;;
D;003;58508;65;20040116 12:19;V;;;;;;
B;003;58731;66;20040116 12:19;;44;4;KARLA AVE;TERRIGAL;2260;;;20031215;20031215;562000;;R;RESIDENCE;44;;;0;AA286997;
