A;138;20040901 11:25;PDANN;
D;138;1428655;66;20040901 11:25;P;;;;;;
D;138;1428655;66;20040901 11:25;P;;;;;;
D;138;1428655;66;20040901 11:25;V;;;;;;
B;138;1428746;67;20040901 11:25;;7;60;MACDONALD ST;LAKEMBA;2195;;;20040618;20040730;210000;;R;RESIDENCE;7;;;0;AA901849;
C;138;1428746;67;20040901 11:25;7/SP 45118;
D;138;1428746;67;20040901 11:25;P;;;;;;
D;138;1428746;67;20040901 11:25;P;;;;;;
D;138;1428746;67;20040901 11:25;V;;;;;;
B;138;1429396;68;20040901 11:25;;4;9;MARY ST;LAKEMBA;2195;;;20040524;20040810;200000;;R;RESIDENCE;4;;;0;AA888877;
C;138;1429396;68;20040901 11:25;4/SP 5260;
D;138;1429396;68;20040901 11:25;P;;;;;;
D;138;1429396;68;20040901 11:25;V;;;;;;
D;138;1429396;68;20040901 11:25;V;;;;;;
B;138;1429396;69;20040901 11:25;;14;9;MARY ST;LAKEMBA;2195;;;20040524;20040810;200000;;R;RESIDENCE;14;;;0;AA888877;
C;138;1429396;69;20040901 11:25;14/SP 5260;
D;138;1429396;69;20040901 11:25;P;;;;;;
D;138;1429396;69;20040901 11:25;V;;;;;;
D;138;1429396;69;20040901 11:25;V;;;;;;
B;138;1430272;70;20040901 11:25;;;38;MELVILLE ST;ASHBURY;2193;;;20040607;20040806;912500;A;R;RESIDENCE;;AC;;0;AA869924;
C;138;1430272;70;20040901 11:25;6/11641;
D;138;1430272;70;20040901 11:25;P;;;;;;
D;138;1430272;70;20040901 11:25;P;;;;;;
D;138;1430272;70;20040901 11:25;V;;;;;;
D;138;1430272;70;20040901 11:25;V;;;;;;
B;138;1431039;71;20040901 11:25;;;35;MOORE ST;CAMPSIE;2194;;;20040508;20040810;910000;A;R;RESIDENCE;;MB;;0;AA884453;
C;138;1431039;71;20040901 11:25;26/10/2922;
D;138;1431039;71;20040901 11:25;P;;;;;;
D;138;1431039;71;20040901 11:25;P;;;;;;
D;138;1431039;71;20040901 11:25;V;;;;;;
D;138;1431039;71;20040901 11:25;V;;;;;;
B;138;1432140;72;20040901 11:25;;;10;NELSON AVE;BELMORE;2192;;;20040629;20040730;458000;A;R;RESIDENCE;;XK;;0;AA878008;
C;138;1432140;72;20040901 11:25;5/11041;
D;138;1432140;72;20040901 11:25;P;;;;;;
D;138;1432140;72;20040901 11:25;P;;;;;;
D;138;1432140;72;20040901 11:25;V;;;;;;
B;138;1433096;73;20040901 11:25;;1;32;OSWALD ST;CAMPSIE;2194;;;20040626;20040809;280000;;R;RESIDENCE;1;;;0;AA891746;
C;138;1433096;73;20040901 11:25;1/SP 46846;
D;138;1433096;73;20040901 11:25;P;;;;;;
D;138;1433096;73;20040901 11:25;V;;;;;;
B;138;1433778;74;20040901 11:25;;2;27;PARRY AVE;BEVERLY HILLS;2209;;;20040626;20040806;223000;;R;RESIDENCE;2;;;0;AA896915;
C;138;1433778;74;20040901 11:25;2/SP 9985;
D;138;1433778;74;20040901 11:25;P;;;;;;
D;138;1433778;74;20040901 11:25;P;;;;;;
D;138;1433778;74;20040901 11:25;V;;;;;;
D;138;1433778;74;20040901 11:25;V;;;;;;
B;138;1433881;75;20040901 11:25;;3;3;PARRY AVE;NARWEE;2209;;;20040623;20040804;155500;;R;RESIDENCE;3;;;0;AA901455;
C;138;1433881;75;20040901 11:25;3/SP 12839;
D;138;1433881;75;20040901 11:25;P;;;;;;
D;138;1433881;75;20040901 11:25;V;;;;;;
D;138;1433881;75;20040901 11:25;V;;;;;;
